"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2023","42.88","42.49","43.08","42.14","6.85M","3.97%"
"11/14/2023","41.24","41.34","41.59","40.50","5.37M","0.48%"
"11/13/2023","41.05","40.70","41.64","40.20","9.55M","0.24%"
"11/10/2023","40.95","43.58","43.73","40.05","18.79M","-6.46%"
"11/09/2023","43.78","44.67","44.72","43.78","13.38M","-1.67%"
"11/08/2023","44.52","44.72","44.82","44.12","5.53M","-0.22%"
"11/07/2023","44.62","45.66","45.66","44.42","7.95M","-2.28%"
"11/06/2023","45.66","44.97","46.26","44.82","7.09M","2.68%"
"11/03/2023","44.47","43.48","44.57","43.23","3.82M","2.75%"
"11/02/2023","43.28","44.17","44.32","43.18","3.08M","-0.91%"
"11/01/2023","43.68","43.83","44.47","43.38","5.35M","0.34%"
"10/31/2023","43.53","43.97","44.17","43.03","6.49M","-1.02%"
"10/30/2023","43.97","43.08","44.22","43.08","5.60M","0.68%"
"10/27/2023","43.68","44.32","44.32","43.13","5.59M","-0.23%"
"10/26/2023","43.78","43.68","44.07","43.33","5.04M","0.34%"
"10/25/2023","43.63","44.02","44.37","43.43","5.28M","1.15%"
"10/24/2023","43.13","43.33","44.17","41.94","5.62M","-0.57%"
"10/20/2023","43.38","42.58","43.48","42.44","6.59M","0.92%"
"10/19/2023","42.98","42.68","43.48","42.49","9.09M","-0.46%"
"10/18/2023","43.18","43.38","43.43","42.63","9.08M","-0.68%"
"10/17/2023","43.48","43.83","44.17","42.88","7.83M","0.00%"
"10/16/2023","43.48","44.67","44.97","42.93","7.40M","-2.99%"
"10/13/2023","44.82","45.22","45.61","44.42","5.27M","-2.38%"
"10/12/2023","45.91","45.81","46.06","45.22","7.28M","0.98%"
"10/11/2023","45.46","46.41","46.41","45.36","4.60M","-0.76%"
"10/10/2023","45.81","45.66","46.21","45.41","6.12M","1.76%"
"10/09/2023","45.02","45.66","45.71","44.72","6.92M","-1.63%"
"10/06/2023","45.76","45.61","46.11","45.61","3.95M","1.10%"
"10/05/2023","45.26","45.02","46.01","45.02","4.77M","0.77%"
"10/04/2023","44.92","45.96","46.01","44.72","5.31M","-2.58%"
"10/03/2023","46.11","46.06","46.31","45.26","10.49M","-1.48%"
"09/29/2023","46.80","45.07","47.30","44.92","11.97M","4.20%"
"09/28/2023","44.92","47.50","47.60","44.87","19.97M","-5.73%"
"09/27/2023","47.65","47.35","48.09","47.35","6.73M","-0.62%"
"09/26/2023","47.94","48.44","48.84","47.65","6.56M","-0.51%"
"09/25/2023","48.19","50.72","50.92","47.75","13.51M","-5.36%"
"09/22/2023","50.92","50.18","50.92","49.98","4.76M","0.88%"
"09/21/2023","50.48","51.17","51.32","50.18","5.12M","-0.97%"
"09/20/2023","50.97","50.53","51.37","50.53","4.02M","0.49%"
